stock_code,market,source,title,summary,url,raw_text,fetched_at
00700,HK,playwright_search,query=00700 00700 主营业务 年报; rank=0; title=search_page_snapshot,"rank=0; url=https://www.google.com/search?q=00700+00700+%E4%B8%BB%E8%90%A5%E4%B8%9A%E5%8A%A1+%E5%B9%B4%E6%8A%A5; hash=ac8492aa923b006f; snippet=About this page

Our systems have detected unusual traffic from your computer network. This page checks to see if it's really you sending the requests, and not a robot. Why did this happen?



IP address: 104.28.211.189
Time: 2026-06-03T09:51:32Z
URL: https://www.google.com/search?q=00700+00700+%E4%B8%BB%E8%90%A5%E4%B8%9A%E5%8A%A1+%E5%B9%B4%E6%8A%A5&sei=I_kf",https://www.google.com/search?q=00700+00700+%E4%B8%BB%E8%90%A5%E4%B8%9A%E5%8A%A1+%E5%B9%B4%E6%8A%A5,"About this page

Our systems have detected unusual traffic from your computer network. This page checks to see if it's really you sending the requests, and not a robot. Why did this happen?



IP address: 104.28.211.189
Time: 2026-06-03T09:51:32Z
URL: https://www.google.com/search?q=00700+00700+%E4%B8%BB%E8%90%A5%E4%B8%9A%E5%8A%A1+%E5%B9%B4%E6%8A%A5&sei=I_kfapuYEpSikdUP_N7-kAc",2026-06-03T09:51:32.831982
00700,HK,playwright_search,query=00700 00700 主营业务 年报; rank=1; title=IMAGES,rank=1; url=https://www.bing.com/ck/a?!&&p=23fe04c0a18230087e9050220c1e64bf242de0f10c8c707d21bb309f6330c0afJmltdHM9MTc4MDQ0NDgwMA&ptn=3&ver=2&hsh=4&fclid=29898f59-1a4b-6fe3-25b9-98341b656ea2&u=a1L2ltYWdlcy9zZWFyY2g_cT0wMDcwMCswMDcwMCslZTQlYjglYmIlZTglOTAlYTUlZTQlYjglOWElZTUlOGElYTErJWU1JWI5JWI0JWU2JThhJWE1JkZPUk09SERSU0My&ntb=1; hash=fa5f2a9f06601c55; snippet=IMAGES,https://www.bing.com/ck/a?!&&p=23fe04c0a18230087e9050220c1e64bf242de0f10c8c707d21bb309f6330c0afJmltdHM9MTc4MDQ0NDgwMA&ptn=3&ver=2&hsh=4&fclid=29898f59-1a4b-6fe3-25b9-98341b656ea2&u=a1L2ltYWdlcy9zZWFyY2g_cT0wMDcwMCswMDcwMCslZTQlYjglYmIlZTglOTAlYTUlZTQlYjglOWElZTUlOGElYTErJWU1JWI5JWI0JWU2JThhJWE1JkZPUk09SERSU0My&ntb=1,IMAGES,2026-06-03T10:44:27.533032
00700,HK,playwright_search,query=00700 00700 主营业务 年报; rank=2; title=VIDEOS,rank=2; url=https://www.bing.com/ck/a?!&&p=61022889c2125d81fde3d465393efc79425db7a67e883818740217deea1dcbc3JmltdHM9MTc4MDQ0NDgwMA&ptn=3&ver=2&hsh=4&fclid=29898f59-1a4b-6fe3-25b9-98341b656ea2&u=a1L3ZpZGVvcy9zZWFyY2g_cT0wMDcwMCswMDcwMCslZTQlYjglYmIlZTglOTAlYTUlZTQlYjglOWElZTUlOGElYTErJWU1JWI5JWI0JWU2JThhJWE1JkZPUk09SERSU0Mz&ntb=1; hash=ebafcf4d3769a602; snippet=VIDEOS,https://www.bing.com/ck/a?!&&p=61022889c2125d81fde3d465393efc79425db7a67e883818740217deea1dcbc3JmltdHM9MTc4MDQ0NDgwMA&ptn=3&ver=2&hsh=4&fclid=29898f59-1a4b-6fe3-25b9-98341b656ea2&u=a1L3ZpZGVvcy9zZWFyY2g_cT0wMDcwMCswMDcwMCslZTQlYjglYmIlZTglOTAlYTUlZTQlYjglOWElZTUlOGElYTErJWU1JWI5JWI0JWU2JThhJWE1JkZPUk09SERSU0Mz&ntb=1,VIDEOS,2026-06-03T10:44:27.535053
00700,HK,playwright_search,query=00700 00700 主营业务 年报; rank=3; title=MAPS,rank=3; url=https://www.bing.com/ck/a?!&&p=b764f3ab7fe369299479f0d8910482225de7ac8675f7e1aa17f53b623d46f00bJmltdHM9MTc4MDQ0NDgwMA&ptn=3&ver=2&hsh=4&fclid=29898f59-1a4b-6fe3-25b9-98341b656ea2&u=a1L21hcHM_cT0wMDcwMCswMDcwMCslZTQlYjglYmIlZTglOTAlYTUlZTQlYjglOWElZTUlOGElYTErJWU1JWI5JWI0JWU2JThhJWE1JkZPUk09SERSU0M0&ntb=1; hash=31b25bd5eea94c2b; snippet=MAPS,https://www.bing.com/ck/a?!&&p=b764f3ab7fe369299479f0d8910482225de7ac8675f7e1aa17f53b623d46f00bJmltdHM9MTc4MDQ0NDgwMA&ptn=3&ver=2&hsh=4&fclid=29898f59-1a4b-6fe3-25b9-98341b656ea2&u=a1L21hcHM_cT0wMDcwMCswMDcwMCslZTQlYjglYmIlZTglOTAlYTUlZTQlYjglOWElZTUlOGElYTErJWU1JWI5JWI0JWU2JThhJWE1JkZPUk09SERSU0M0&ntb=1,MAPS,2026-06-03T10:44:27.537438
00700,HK,playwright_search,query=00700 00700 主营业务 年报; rank=4; title=News,rank=4; url=https://www.bing.com/ck/a?!&&p=7e231067ce37e177e1de5dc405fd27c8543ad77856e1f9c668855e233f39a89bJmltdHM9MTc4MDQ0NDgwMA&ptn=3&ver=2&hsh=4&fclid=29898f59-1a4b-6fe3-25b9-98341b656ea2&u=a1L25ld3Mvc2VhcmNoP3E9MDA3MDArMDA3MDArJWU0JWI4JWJiJWU4JTkwJWE1JWU0JWI4JTlhJWU1JThhJWExKyVlNSViOSViNCVlNiU4YSVhNSZGT1JNPUhEUlNDNg&ntb=1; hash=6efe4e57e5b58185; snippet=News,https://www.bing.com/ck/a?!&&p=7e231067ce37e177e1de5dc405fd27c8543ad77856e1f9c668855e233f39a89bJmltdHM9MTc4MDQ0NDgwMA&ptn=3&ver=2&hsh=4&fclid=29898f59-1a4b-6fe3-25b9-98341b656ea2&u=a1L25ld3Mvc2VhcmNoP3E9MDA3MDArMDA3MDArJWU0JWI4JWJiJWU4JTkwJWE1JWU0JWI4JTlhJWU1JThhJWExKyVlNSViOSViNCVlNiU4YSVhNSZGT1JNPUhEUlNDNg&ntb=1,News,2026-06-03T10:44:27.541367
00700,HK,playwright_search,query=00700 00700 主营业务 年报; rank=5; title=Flights,rank=5; url=https://www.bing.com/ck/a?!&&p=6f4e61e60d48dbcb5a12e6123d6c5ed3259b32f7eecfbe8857f3b36dadacdcc5JmltdHM9MTc4MDQ0NDgwMA&ptn=3&ver=2&hsh=4&fclid=29898f59-1a4b-6fe3-25b9-98341b656ea2&u=a1L3RyYXZlbC9zZWFyY2g_cT0wMDcwMCswMDcwMCslZTQlYjglYmIlZTglOTAlYTUlZTQlYjglOWElZTUlOGElYTErJWU1JWI5JWI0JWU2JThhJWE1Jm09ZmxpZ2h0cyZGT1JNPUZCU0NPUA&ntb=1; hash=a4d7609ce8caa553; snippet=Flights,https://www.bing.com/ck/a?!&&p=6f4e61e60d48dbcb5a12e6123d6c5ed3259b32f7eecfbe8857f3b36dadacdcc5JmltdHM9MTc4MDQ0NDgwMA&ptn=3&ver=2&hsh=4&fclid=29898f59-1a4b-6fe3-25b9-98341b656ea2&u=a1L3RyYXZlbC9zZWFyY2g_cT0wMDcwMCswMDcwMCslZTQlYjglYmIlZTglOTAlYTUlZTQlYjglOWElZTUlOGElYTErJWU1JWI5JWI0JWU2JThhJWE1Jm09ZmxpZ2h0cyZGT1JNPUZCU0NPUA&ntb=1,Flights,2026-06-03T10:44:27.543591
00700,HK,playwright_search,query=00700 00700 company profile business segments; rank=1; title=增值电信业务经营许可证：合字B2-20090007,rank=1; url=https://dxzhgl.miit.gov.cn/dxxzsp/xkz/xkzgl/resource/qiyereport.jsp?num=caf04fa4-bd8a-4d9e-80b6-2aa1b86c1509&type=yreport; hash=00811451784931c4; snippet=增值电信业务经营许可证：合字B2-20090007,https://dxzhgl.miit.gov.cn/dxxzsp/xkz/xkzgl/resource/qiyereport.jsp?num=caf04fa4-bd8a-4d9e-80b6-2aa1b86c1509&type=yreport,增值电信业务经营许可证：合字B2-20090007,2026-06-03T10:44:31.378382
00700,HK,playwright_search,query=00700 00700 company profile business segments; rank=2; title=京ICP备10036305号-7,rank=2; url=https://beian.miit.gov.cn; hash=d4576cae9d77cc8b; snippet=京ICP备10036305号-7,https://beian.miit.gov.cn,京ICP备10036305号-7,2026-06-03T10:44:31.381494
00700,HK,playwright_search,query=00700 00700 company profile business segments; rank=3; title=京公网安备11010802047360号,rank=3; url=https://beian.mps.gov.cn/#/query/webSearch?code=11010802047360; hash=f0319fae06fb127b; snippet=京公网安备11010802047360号,https://beian.mps.gov.cn/#/query/webSearch?code=11010802047360,京公网安备11010802047360号,2026-06-03T10:44:31.385225
00883,HK,playwright_search,query=00883 00883 主营业务 年报; rank=1; title=IMAGES,rank=1; url=https://www.bing.com/ck/a?!&&p=e02733404ffa335cbbeaa2d5874023c273cad0e290fff8fb3223a9e07a2fb0c8JmltdHM9MTc4MDQ0NDgwMA&ptn=3&ver=2&hsh=4&fclid=1a9815f7-b6b3-6957-1b76-029ab7c86880&u=a1L2ltYWdlcy9zZWFyY2g_cT0wMDg4MyswMDg4MyslZTQlYjglYmIlZTglOTAlYTUlZTQlYjglOWElZTUlOGElYTErJWU1JWI5JWI0JWU2JThhJWE1JkZPUk09SERSU0My&ntb=1; hash=a3bfe41a789219af; snippet=IMAGES,https://www.bing.com/ck/a?!&&p=e02733404ffa335cbbeaa2d5874023c273cad0e290fff8fb3223a9e07a2fb0c8JmltdHM9MTc4MDQ0NDgwMA&ptn=3&ver=2&hsh=4&fclid=1a9815f7-b6b3-6957-1b76-029ab7c86880&u=a1L2ltYWdlcy9zZWFyY2g_cT0wMDg4MyswMDg4MyslZTQlYjglYmIlZTglOTAlYTUlZTQlYjglOWElZTUlOGElYTErJWU1JWI5JWI0JWU2JThhJWE1JkZPUk09SERSU0My&ntb=1,IMAGES,2026-06-03T10:44:35.583862
