stock_code,market,source,title,summary,url,raw_text,fetched_at
00001,HK,akshare_eastmoney_company_profile,company_profile,长江和记实业有限公司: CK HUTCHISON HOLDINGS LIMITED,,长江和记实业有限公司: CK HUTCHISON HOLDINGS LIMITED,2026-06-04T15:42:35.752850
00002,HK,akshare_eastmoney_company_profile,company_profile,中电控股有限公司: CLP Holdings Limited,,中电控股有限公司: CLP Holdings Limited,2026-06-04T15:42:35.979408
00003,HK,akshare_eastmoney_company_profile,company_profile,香港中华煤气有限公司: Hong Kong And China Gas Company Limited,,香港中华煤气有限公司: Hong Kong And China Gas Company Limited,2026-06-04T15:42:36.070624
00004,HK,akshare_eastmoney_company_profile,company_profile,九龙仓集团有限公司: The Wharf (Holdings) Limited,,九龙仓集团有限公司: The Wharf (Holdings) Limited,2026-06-04T15:42:36.180553
00005,HK,akshare_eastmoney_company_profile,company_profile,汇丰控股有限公司: HSBC Holdings Plc,,汇丰控股有限公司: HSBC Holdings Plc,2026-06-04T15:42:36.435119
00006,HK,akshare_eastmoney_company_profile,company_profile,电能实业有限公司: Power Assets Holdings Limited,,电能实业有限公司: Power Assets Holdings Limited,2026-06-04T15:42:36.530190
00007,HK,akshare_eastmoney_company_profile,company_profile,智富资源投资控股集团有限公司: Wisdom Wealth Resources Investment Holding Group Limited,,智富资源投资控股集团有限公司: Wisdom Wealth Resources Investment Holding Group Limited,2026-06-04T15:42:36.623103
00008,HK,akshare_eastmoney_company_profile,company_profile,电讯盈科有限公司: Pccw Limited,,电讯盈科有限公司: Pccw Limited,2026-06-04T15:42:36.716797
00009,HK,akshare_eastmoney_company_profile,company_profile,金奥国际股份有限公司: KEYNE LTD,,金奥国际股份有限公司: KEYNE LTD,2026-06-04T15:42:36.877164
00010,HK,akshare_eastmoney_company_profile,company_profile,恒隆集团有限公司: Hang Lung Group Limited,,恒隆集团有限公司: Hang Lung Group Limited,2026-06-04T15:42:36.973936
00012,HK,akshare_eastmoney_company_profile,company_profile,恒基兆业地产有限公司: Henderson Land Development Company Limited,,恒基兆业地产有限公司: Henderson Land Development Company Limited,2026-06-04T15:42:37.065299
00013,HK,akshare_eastmoney_company_profile,company_profile,和黄医药(中国)有限公司: HUTCHMED (China) Limited,,和黄医药(中国)有限公司: HUTCHMED (China) Limited,2026-06-04T15:42:37.159083
00014,HK,akshare_eastmoney_company_profile,company_profile,希慎兴业有限公司: Hysan Development Company Limited,,希慎兴业有限公司: Hysan Development Company Limited,2026-06-04T15:42:37.274056
00016,HK,akshare_eastmoney_company_profile,company_profile,新鸿基地产发展有限公司: Sun Hung Kai Properties Limited,,新鸿基地产发展有限公司: Sun Hung Kai Properties Limited,2026-06-04T15:42:37.377564
00017,HK,akshare_eastmoney_company_profile,company_profile,新世界发展有限公司: New World Development Company Limited,,新世界发展有限公司: New World Development Company Limited,2026-06-04T15:42:37.480594
00018,HK,akshare_eastmoney_company_profile,company_profile,东方传媒集团有限公司: Oriental Media Group Limited,,东方传媒集团有限公司: Oriental Media Group Limited,2026-06-04T15:42:37.579552
00019,HK,akshare_eastmoney_company_profile,company_profile,太古股份有限公司A: Swire Pacific Limited A,,太古股份有限公司A: Swire Pacific Limited A,2026-06-04T15:42:37.669024
00020,HK,akshare_eastmoney_company_profile,company_profile,商汤集团股份有限公司: SenseTime Group Inc.,,商汤集团股份有限公司: SenseTime Group Inc.,2026-06-04T15:42:37.758986
00021,HK,akshare_eastmoney_company_profile,company_profile,大中华控股(香港)有限公司: Great China Holdings (Hong Kong) Limited,,大中华控股(香港)有限公司: Great China Holdings (Hong Kong) Limited,2026-06-04T15:42:37.849384
00022,HK,akshare_eastmoney_company_profile,company_profile,茂盛控股有限公司: Mexan Limited,,茂盛控股有限公司: Mexan Limited,2026-06-04T15:42:37.940656
00023,HK,akshare_eastmoney_company_profile,company_profile,东亚银行有限公司: The Bank of East Asia Limited,,东亚银行有限公司: The Bank of East Asia Limited,2026-06-04T15:42:38.039387
00025,HK,akshare_eastmoney_company_profile,company_profile,其士国际集团有限公司: Chevalier International Holdings Ltd.,,其士国际集团有限公司: Chevalier International Holdings Ltd.,2026-06-04T15:42:38.131708
00026,HK,akshare_eastmoney_company_profile,company_profile,"中华汽车有限公司: China Motor Bus Co., Ltd.",,"中华汽车有限公司: China Motor Bus Co., Ltd.",2026-06-04T15:42:38.245725
00027,HK,akshare_eastmoney_company_profile,company_profile,银河娱乐集团有限公司: Galaxy Entertainment Group Limited,,银河娱乐集团有限公司: Galaxy Entertainment Group Limited,2026-06-04T15:42:38.347563
00028,HK,akshare_eastmoney_company_profile,company_profile,天安中国投资有限公司: Tian An China Investments Company Limited,,天安中国投资有限公司: Tian An China Investments Company Limited,2026-06-04T15:42:38.447060
00029,HK,akshare_eastmoney_company_profile,company_profile,达力集团有限公司: Dynamic Holdings Ltd.,,达力集团有限公司: Dynamic Holdings Ltd.,2026-06-04T15:42:38.537935
00030,HK,akshare_eastmoney_company_profile,company_profile,云白国际有限公司: YNBY International Limited,,云白国际有限公司: YNBY International Limited,2026-06-04T15:42:38.641302
00031,HK,akshare_eastmoney_company_profile,company_profile,中国航天国际控股有限公司: China Aerospace International Holdings Limited,,中国航天国际控股有限公司: China Aerospace International Holdings Limited,2026-06-04T15:42:38.767699
00032,HK,akshare_eastmoney_company_profile,company_profile,港通控股有限公司: The Cross-Harbour (Holdings) Ltd.,,港通控股有限公司: The Cross-Harbour (Holdings) Ltd.,2026-06-04T15:42:38.867812
00033,HK,akshare_eastmoney_company_profile,company_profile,International Genius Company: International Genius Company,,International Genius Company: International Genius Company,2026-06-04T15:42:38.966751
00034,HK,akshare_eastmoney_company_profile,company_profile,九龙建业有限公司: Kowloon Development Company Limited,,九龙建业有限公司: Kowloon Development Company Limited,2026-06-04T15:42:39.068166
00035,HK,akshare_eastmoney_company_profile,company_profile,远东发展有限公司: Far East Consortium International Limited,,远东发展有限公司: Far East Consortium International Limited,2026-06-04T15:42:39.160230
00036,HK,akshare_eastmoney_company_profile,company_profile,远东控股国际有限公司: Far East Holdings International Limited,,远东控股国际有限公司: Far East Holdings International Limited,2026-06-04T15:42:39.261019
00037,HK,akshare_eastmoney_company_profile,company_profile,远东酒店实业有限公司: Far East Hotels And Entertainment Limited,,远东酒店实业有限公司: Far East Hotels And Entertainment Limited,2026-06-04T15:42:39.352057
00038,HK,akshare_eastmoney_company_profile,company_profile,第一拖拉机股份有限公司: First Tractor Company Limited,,第一拖拉机股份有限公司: First Tractor Company Limited,2026-06-04T15:42:39.574515
