stock_code,market,alias,alias_type,source,confidence,updated_at
00001,HK,00001,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875343
00001,HK,长和,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875350
00002,HK,00002,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875373
00002,HK,中电控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875376
00003,HK,00003,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875394
00003,HK,香港中华煤气,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875396
00004,HK,00004,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875412
00004,HK,九龙仓集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875414
00005,HK,00005,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875427
00005,HK,汇丰控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875429
00006,HK,00006,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875441
00006,HK,电能实业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875443
00007,HK,00007,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875455
00007,HK,智富资源投资,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875457
00008,HK,00008,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875469
00008,HK,电讯盈科,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875471
00009,HK,00009,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875483
00010,HK,00010,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875496
00010,HK,恒隆集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875498
00012,HK,00012,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875510
00012,HK,恒基地产,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875512
00013,HK,00013,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875523
00013,HK,和黄医药,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875525
00014,HK,00014,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875537
00014,HK,希慎兴业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875538
00016,HK,00016,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875550
00016,HK,新鸿基地产,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875552
00017,HK,00017,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875563
00017,HK,新世界发展,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875565
00018,HK,00018,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875576
00018,HK,东方传媒集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875578
00019,HK,00019,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875589
00019,HK,太古股份公司A,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875591
00020,HK,00020,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875602
00020,HK,商汤-W,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875604
00021,HK,00021,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875615
00021,HK,大中华控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875617
00022,HK,00022,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875628
00022,HK,茂盛控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875630
00023,HK,00023,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875641
00023,HK,东亚银行,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875643
00025,HK,00025,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875655
00025,HK,其士国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875658
00026,HK,00026,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875672
00026,HK,中华汽车,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875674
00027,HK,00027,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875686
00027,HK,银河娱乐,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875688
00028,HK,00028,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875701
00028,HK,天安,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875703
00029,HK,00029,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875714
00029,HK,达力集团,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875715
00030,HK,00030,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875729
00030,HK,云白国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875731
00031,HK,00031,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875744
00031,HK,航天控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875746
00032,HK,00032,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875758
00032,HK,港通控股,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875760
00033,HK,00033,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875771
00033,HK,INTL GENIUS,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875773
00034,HK,00034,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875784
00034,HK,九龙建业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875785
00035,HK,00035,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875796
00035,HK,远东发展,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875798
00036,HK,00036,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875809
00036,HK,远东控股国际,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875811
00037,HK,00037,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875822
00037,HK,远东酒店实业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875824
00038,HK,00038,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875835
00038,HK,第一拖拉机股份,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875837
00039,HK,00039,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875848
00039,HK,中国北大荒,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875850
00040,HK,00040,stock_code,stock_info_registry,1.0,2026-06-06T19:08:54.875861
00040,HK,金山科技工业,company_name,stock_info_registry,0.95,2026-06-06T19:08:54.875863
