stock_code,market,exchange,asset_type,name,current_price,close_price,open_price,high,low,volume,market_cap,pe_ratio,pb_ratio,dividend_yield,total_shares,circulating_shares,week_52_high,week_52_low,industry_l1,industry_l2,industry_l3,theme_tags,industry_source,industry_updated_at,instrument_type,is_fund_like,tradable_flag,instrument_source,instrument_updated_at,source,ingest_time
00001,HK,,,,,,,,,,,,,,,,,,综合企业,综合企业,,港股;综合企业,akshare_eastmoney_company_profile,2026-06-02T14:22:26.039478,common_stock,False,True,,,,
00002,HK,,,,,,,,,,,,,,,,,,公用事业,公用事业,,港股;公用事业;高股息,akshare_eastmoney_company_profile,2026-06-02T14:22:25.528318,common_stock,False,True,,,,
00003,HK,,,,,,,,,,,,,,,,,,公用事业,公用事业,,港股;公用事业;高股息,akshare_eastmoney_company_profile,2026-06-02T14:22:25.531786,common_stock,False,True,,,,
00004,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:25.517837,common_stock,False,True,,,,
00005,HK,,,,,,,,,,,,,,,,,,金融业,银行,,港股;金融业;银行;金融服务,akshare_eastmoney_company_profile,2026-06-02T14:22:25.538750,common_stock,False,True,,,,
00006,HK,,,,,,,,,,,,,,,,,,公用事业,公用事业,,港股;公用事业;高股息,akshare_eastmoney_company_profile,2026-06-02T14:22:25.521743,common_stock,False,True,,,,
00007,HK,,,,,,,,,,,,,,,,,,非必需性消费,家庭电器及用品,,港股;非必需性消费;家庭电器及用品;消费,akshare_eastmoney_company_profile,2026-06-02T14:22:25.526352,common_stock,False,True,,,,
00008,HK,,,,,,,,,,,,,,,,,,电讯业,电讯,,港股;电讯业;电讯,akshare_eastmoney_company_profile,2026-06-02T14:22:25.535498,common_stock,False,True,,,,
00009,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:25.627190,common_stock,False,True,,,,
00010,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:25.753033,common_stock,False,True,,,,
00012,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:25.733348,common_stock,False,True,,,,
00013,HK,,,,,,,,,,,,,,,,,,医疗保健业,药品及生物科技,,港股;医疗保健业;药品及生物科技;医药医疗,akshare_eastmoney_company_profile,2026-06-02T14:22:25.746223,common_stock,False,True,,,,
00014,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:25.749659,common_stock,False,True,,,,
00016,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:25.751681,common_stock,False,True,,,,
00017,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:26.041059,common_stock,False,True,,,,
00018,HK,,,,,,,,,,,,,,,,,,非必需性消费,媒体及娱乐,,港股;非必需性消费;媒体及娱乐;消费,akshare_eastmoney_company_profile,2026-06-02T14:22:25.778651,common_stock,False,True,,,,
00019,HK,,,,,,,,,,,,,,,,,,综合企业,综合企业,,港股;综合企业,akshare_eastmoney_company_profile,2026-06-02T14:22:25.819221,common_stock,False,True,,,,
00020,HK,,,,,,,,,,,,,,,,,,资讯科技业,软件服务,,港股;资讯科技业;软件服务;科技,akshare_eastmoney_company_profile,2026-06-02T14:22:25.888496,common_stock,False,True,,,,
00021,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:25.928874,common_stock,False,True,,,,
00022,HK,,,,,,,,,,,,,,,,,,工业,建筑,,港股;工业;建筑,akshare_eastmoney_company_profile,2026-06-02T14:22:25.938184,common_stock,False,True,,,,
00023,HK,,,,,,,,,,,,,,,,,,金融业,银行,,港股;金融业;银行;金融服务,akshare_eastmoney_company_profile,2026-06-02T14:22:25.925865,common_stock,False,True,,,,
00025,HK,,,,,,,,,,,,,,,,,,综合企业,综合企业,,港股;综合企业,akshare_eastmoney_company_profile,2026-06-02T14:22:25.936428,common_stock,False,True,,,,
00026,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:25.997011,common_stock,False,True,,,,
00027,HK,,,,,,,,,,,,,,,,,,非必需性消费,旅游及消闲设施,,港股;非必需性消费;旅游及消闲设施;消费,akshare_eastmoney_company_profile,2026-06-02T14:22:26.045387,common_stock,False,True,,,,
00028,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:26.069021,common_stock,False,True,,,,
00029,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:26.071435,common_stock,False,True,,,,
00030,HK,,,,,,,,,,,,,,,,,,医疗保健业,其他医疗保健,,港股;医疗保健业;其他医疗保健;医药医疗,akshare_eastmoney_company_profile,2026-06-02T14:22:26.153360,common_stock,False,True,,,,
00031,HK,,,,,,,,,,,,,,,,,,工业,工业工程,,港股;工业;工业工程,akshare_eastmoney_company_profile,2026-06-02T14:22:26.075599,common_stock,False,True,,,,
00032,HK,,,,,,,,,,,,,,,,,,非必需性消费,支援服务,,港股;非必需性消费;支援服务,akshare_eastmoney_company_profile,2026-06-02T14:22:26.104269,common_stock,False,True,,,,
00033,HK,,,,,,,,,,,,,,,,,,非必需性消费,家庭电器及用品,,港股;非必需性消费;家庭电器及用品;消费,akshare_eastmoney_company_profile,2026-06-02T14:22:26.211244,common_stock,False,True,,,,
00034,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:26.204050,common_stock,False,True,,,,
00035,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:26.219436,common_stock,False,True,,,,
00036,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:26.301505,common_stock,False,True,,,,
00037,HK,,,,,,,,,,,,,,,,,,非必需性消费,旅游及消闲设施,,港股;非必需性消费;旅游及消闲设施;消费,akshare_eastmoney_company_profile,2026-06-02T14:22:26.293282,common_stock,False,True,,,,
00038,HK,,,,,,,,,,,,,,,,,,工业,工业工程,,港股;工业;工业工程,akshare_eastmoney_company_profile,2026-06-02T14:22:26.282574,common_stock,False,True,,,,
00039,HK,,,,,,,,,,,,,,,,,,非必需性消费,消费者主要零售商,,港股;非必需性消费;消费者主要零售商;消费,akshare_eastmoney_company_profile,2026-06-02T14:22:26.285726,common_stock,False,True,,,,
00040,HK,,,,,,,,,,,,,,,,,,非必需性消费,家庭电器及用品,,港股;非必需性消费;家庭电器及用品;消费,akshare_eastmoney_company_profile,2026-06-02T14:22:26.284260,common_stock,False,True,,,,
00041,HK,,,,,,,,,,,,,,,,,,地产业,地产,,港股;地产业;地产;房地产,akshare_eastmoney_company_profile,2026-06-02T14:22:26.295063,common_stock,False,True,,,,
