src_type,src_id,edge_type,dst_type,dst_id,confidence,evidence_refs,source,updated_at
artifact,https://stock.qianzhan.com/report/fullcompare/02513.HK,related_to,content,content:智谱(02513.HK)_沪深A股_新三板_港股美股_财务报表完整分析对比_财务报告查询-前瞻眼,1.0,evidence:02513:201b1a4e5b38aee0.txt;doc-06c43f61bb1289107460546360de1b17-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
data,data:02513.HK,related_to,concept,concept:KNOWLEDGE ATLAS,1.0,evidence:02513:ed017f7b8f3c38b0.txt;doc-0fb260a7589d7c16c051233370004b49-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
stock,stock:02513,alias_of,location,location:HK,1.0,evidence:02513:5b66659d0e278f6c.txt<SEP>evidence:02513:4a23a57f0cd55f15.txt<SEP>evidence:02513:434e5b846052be06.txt<SEP>evidence:02513:201b1a4e5b38aee0.txt<SEP>evidence:02513:23901e2bb2ed06e1.txt;doc-17b32dcf7738724991c2f427a0eff142-chunk-000<SEP>doc-93950896a6b0ceeaf6354962d9632b74-chunk-000<SEP>doc-9da4919957dc304f45e11a62041e9d1c-chunk-000<SEP>doc-06c43f61bb1289107460546360de1b17-chunk-000<SEP>doc-e6bb9546f62c7e78cec5f84032400abb-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
stock,stock:02513,alias_of,location,location:香港市场,1.0,evidence:02513:a2199ad093dcd419.txt<SEP>evidence:02513:188bbc6c85b01d0b.txt;doc-b4e38788f6345e577d0544273756e626-chunk-000<SEP>doc-28d04bfb177a8df8436828b9a7314fd4-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
stock,stock:02513,alias_of,location,location:香港,1.0,evidence:02513:44325e49aa486440.txt;doc-cd9f6b7513e5ea92692e58c69cbd8c42-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
data,data:02513.HK,related_to,organization,organization:新浪财经,1.0,evidence:02513:ed017f7b8f3c38b0.txt;doc-0fb260a7589d7c16c051233370004b49-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
organization,organization:新浪财经,related_to,organization,organization:智谱,1.0,evidence:02513:ed017f7b8f3c38b0.txt;doc-0fb260a7589d7c16c051233370004b49-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
data,data:02513.HK,related_to,content,content:智谱(02513.HK)_沪深A股_新三板_港股美股_财务报表完整分析对比_财务报告查询-前瞻眼,1.0,evidence:02513:201b1a4e5b38aee0.txt;doc-06c43f61bb1289107460546360de1b17-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
organization,organization:深圳前瞻资讯股份有限公司,produces,artifact,https://stock.qianzhan.com/report/fullcompare/02513.HK,1.0,evidence:02513:201b1a4e5b38aee0.txt;doc-06c43f61bb1289107460546360de1b17-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
data,data:02513.HK,related_to,artifact,https://stock.qianzhan.com/report/fullcompare/02513.HK,1.0,evidence:02513:201b1a4e5b38aee0.txt;doc-06c43f61bb1289107460546360de1b17-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
organization,organization:智谱AI,related_to,location,location:香港市场,1.0,evidence:02513:188bbc6c85b01d0b.txt;doc-28d04bfb177a8df8436828b9a7314fd4-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
location,location:HK,related_to,organization,organization:智谱,1.0,evidence:02513:5b66659d0e278f6c.txt<SEP>evidence:02513:5ba523278dfb38a4.txt<SEP>evidence:02513:2315e55978c3764d.txt;doc-17b32dcf7738724991c2f427a0eff142-chunk-000<SEP>doc-3bc59d9dd7efdabb5e96d649b2cf7029-chunk-000<SEP>doc-676b8171863c25e934e20e27b2e393f0-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
data,data:主力资金动向,related_to,organization,organization:同花顺金融网,1.0,evidence:02513:3925dd1fcacc0749.txt;doc-cb24584fb61d6a7f609e40760cae9f51-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
content,content:北京智譜華章科技股份有限公司公告,risk_of,organization,organization:香港聯合交易所有限公司(聯交所),1.0,evidence:02513:23901e2bb2ed06e1.txt;doc-e6bb9546f62c7e78cec5f84032400abb-chunk-000,lightrag_graph,2026-06-06T16:52:07.683670
