stock_code,market,tag,tag_type,confidence,is_primary,source,evidence,evidence_url,updated_at
00001,HK,综合企业,industry,0.92,True,akshare_eastmoney_company_profile,industry_l2,,2026-06-04T05:58:00.399555
00001,HK,综合企业,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.399572
00002,HK,公用事业,industry,0.92,True,akshare_eastmoney_company_profile,industry_l2,,2026-06-04T05:58:00.399656
00002,HK,公用事业,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.399668
00002,HK,高股息,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.399675
00003,HK,公用事业,industry,0.92,True,akshare_eastmoney_company_profile,industry_l2,,2026-06-04T05:58:00.399738
00003,HK,公用事业,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.399750
00003,HK,高股息,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.399757
00004,HK,地产业,industry,0.9,True,akshare_eastmoney_company_profile,industry_l1,,2026-06-04T05:58:00.399807
00004,HK,地产,industry,0.92,True,akshare_eastmoney_company_profile,industry_l2,,2026-06-04T05:58:00.399814
00004,HK,地产业,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.399826
00004,HK,地产,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.399833
00004,HK,房地产,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.399842
00005,HK,金融业,industry,0.9,True,akshare_eastmoney_company_profile,industry_l1,,2026-06-04T05:58:00.399890
00005,HK,银行,industry,0.92,True,akshare_eastmoney_company_profile,industry_l2,,2026-06-04T05:58:00.399898
00005,HK,金融业,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.399909
00005,HK,银行,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.399916
00005,HK,金融服务,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.399923
00006,HK,公用事业,industry,0.92,True,akshare_eastmoney_company_profile,industry_l2,,2026-06-04T05:58:00.399976
00006,HK,公用事业,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.399987
00006,HK,高股息,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.399994
00007,HK,非必需性消费,industry,0.9,True,akshare_eastmoney_company_profile,industry_l1,,2026-06-04T05:58:00.400042
00007,HK,家庭电器及用品,industry,0.92,True,akshare_eastmoney_company_profile,industry_l2,,2026-06-04T05:58:00.400050
00007,HK,非必需性消费,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400061
00007,HK,家庭电器及用品,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400069
00007,HK,消费,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400076
00008,HK,电讯业,industry,0.9,True,akshare_eastmoney_company_profile,industry_l1,,2026-06-04T05:58:00.400120
00008,HK,电讯,industry,0.92,True,akshare_eastmoney_company_profile,industry_l2,,2026-06-04T05:58:00.400127
00008,HK,电讯业,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400138
00008,HK,电讯,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400145
00009,HK,地产业,industry,0.9,True,akshare_eastmoney_company_profile,industry_l1,,2026-06-04T05:58:00.400189
00009,HK,地产,industry,0.92,True,akshare_eastmoney_company_profile,industry_l2,,2026-06-04T05:58:00.400197
00009,HK,地产业,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400207
00009,HK,地产,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400214
00009,HK,房地产,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400221
00010,HK,地产业,industry,0.9,True,akshare_eastmoney_company_profile,industry_l1,,2026-06-04T05:58:00.400266
00010,HK,地产,industry,0.92,True,akshare_eastmoney_company_profile,industry_l2,,2026-06-04T05:58:00.400273
00010,HK,地产业,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400285
00010,HK,地产,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400292
00010,HK,房地产,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400298
00012,HK,地产业,industry,0.9,True,akshare_eastmoney_company_profile,industry_l1,,2026-06-04T05:58:00.400343
00012,HK,地产,industry,0.92,True,akshare_eastmoney_company_profile,industry_l2,,2026-06-04T05:58:00.400350
00012,HK,地产业,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400360
00012,HK,地产,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400367
00012,HK,房地产,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400375
00013,HK,医疗保健业,industry,0.9,True,akshare_eastmoney_company_profile,industry_l1,,2026-06-04T05:58:00.400423
00013,HK,药品及生物科技,industry,0.92,True,akshare_eastmoney_company_profile,industry_l2,,2026-06-04T05:58:00.400430
00013,HK,医疗保健业,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400442
00013,HK,药品及生物科技,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400449
00013,HK,医药医疗,theme,0.75,False,akshare_eastmoney_company_profile,theme_tags,,2026-06-04T05:58:00.400456
00014,HK,地产业,industry,0.9,True,akshare_eastmoney_company_profile,industry_l1,,2026-06-04T05:58:00.400498
